country,last_data_year,forecast_year,years_in_advance,HW_Prediction_2024,ARIMA_Prediction_2024,Weighted_Prediction_2024
Afghanistan,2023,2024,1,65.11183115711863,64.876881349634,64.99435625337631
Albania,2023,2024,1,86.49892986942423,86.80591165765063,86.65242076353744
Algeria,2023,2024,1,19.67093344053594,19.669990694716265,19.670462067626104
American Samoa,2023,2024,1,234.64076918482715,233.5948977430125,234.11783346391982
Andorra,2023,2024,1,174.48297882939013,174.14044691402734,174.31171287170872
Angola,2023,2024,1,30.372008499814402,30.371566031805447,30.371787265809925
Antigua and Barbuda,2023,2024,1,213.16363640111757,213.15989215196979,213.1617642765437
Argentina,2023,2024,1,16.687640169295882,16.68713213508128,16.68738615218858
Armenia,2023,2024,1,104.9784505586308,105.06823766259855,105.02334411061467
Aruba,2023,2024,1,596.7111110321171,596.6617300537915,596.6864205429542
Australia,2023,2024,1,3.5119241032049238,3.5444546946498416,3.528189398927383
Austria,2023,2024,1,111.37742834102397,111.69681671253015,111.53712252677707
Azerbaijan,2023,2024,1,123.00254078833105,123.00015852640796,123.0013496573695
"Bahamas, The",2023,2024,1,40.094105887683696,40.09199484189106,40.09305036478737
Bahrain,2023,2024,1,1998.9439477897643,1998.6029297453777,1998.773438767571
Bangladesh,2023,2024,1,1337.9995677396737,1337.8370787109304,1337.9183232253022
Barbados,2023,2024,1,656.6372092062724,656.6366505460853,656.6369298761788
Belarus,2023,2024,1,44.973437294052104,44.9969783678698,44.98520783096095
Belgium,2023,2024,1,386.5988265977301,389.356088545601,387.9774575716656
Belize,2023,2024,1,18.3901358999314,18.386262222253833,18.388199061092617
Benin,2023,2024,1,128.2597285982145,128.25903945915482,128.25938402868468
Bermuda,2023,2024,1,1197.1666660803007,1197.3513611065089,1197.2590135934047
Bhutan,2023,2024,1,20.761824850015238,20.76152708535099,20.761675967683114
Bolivia,2023,2024,1,11.456811599134786,11.456338687837958,11.456575143486372
Bosnia and Herzegovina,2023,2024,1,61.26735280229765,61.829645431725574,61.548499117011616
Botswana,2023,2024,1,4.447613501926406,4.447458251333885,4.447535876630146
Brazil,2023,2024,1,25.361509029344077,25.36093670422586,25.36122286678497
British Virgin Islands,2023,2024,1,267.6991161312363,262.33995878278586,265.0195374570111
Brunei Darussalam,2023,2024,1,87.76622389870498,87.76458192242372,87.76540291056435
Bulgaria,2023,2024,1,59.0889571045893,59.23552427555907,59.162240690074185
Burkina Faso,2023,2024,1,86.08422347699373,86.04660104338124,86.06541226018749
Burundi,2023,2024,1,547.4222350819887,547.2654907646013,547.343862923295
Cabo Verde,2023,2024,1,130.25334990971714,130.21322139853996,130.23328565412857
Cambodia,2023,2024,1,99.98152057406624,99.96364865619383,99.97258461513003
Cameroon,2023,2024,1,61.58660276820649,61.58518938818179,61.58589607819414
Canada,2023,2024,1,4.668675336242808,4.685070525976142,4.676872931109475
Cayman Islands,2023,2024,1,310.35416671036864,310.3525769539588,310.3533718321637
Central African Republic,2023,2024,1,8.35202730252408,8.334338856662644,8.343183079593363
Chad,2023,2024,1,16.02828144187411,16.024175723714542,16.026228582794324
Channel Islands,2021,2024,3,853.3108344308508,849.5722484235494,851.4415414272
Chile,2023,2024,1,26.60715151967304,26.599803197303007,26.60347735848802
China,2023,2024,1,150.10795450380135,150.1121437491442,150.11004912647277
Colombia,2023,2024,1,47.68306443853988,47.672185924047085,47.67762518129348
Comoros,2023,2024,1,465.6560988955801,465.6524249588681,465.65426192722407
"Congo, Dem. Rep.",2023,2024,1,48.160602537731826,48.15870642618781,48.15965448195982
"Congo, Rep.",2023,2024,1,18.537821379517787,18.53732043366701,18.5375709065924
Costa Rica,2023,2024,1,100.45603211712834,100.45405154145001,100.45504182928917
Cote d'Ivoire,2023,2024,1,100.42863521928874,100.4207856533179,100.42471043630331
Croatia,2023,2024,1,68.37367899933646,69.03761954604296,68.70564927268971
Cuba,2023,2024,1,106.16706039821207,106.08952377276006,106.12829208548607
Curacao,2023,2024,1,351.32207183310027,350.7409500031256,351.03151091811293
Cyprus,2023,2024,1,147.032684100587,147.0320463803808,147.0323652404839
Czechia,2023,2024,1,139.20881794158674,140.8040877008258,140.00645282120627
Denmark,2023,2024,1,149.44162504272032,149.7361698701507,149.58889745643552
Djibouti,2023,2024,1,50.42243312986372,50.42220968456048,50.422321407212095
